"filename", "language", "Markdown", "JSON", "JavaScript", "HTML", "comment", "blank", "total"
"d:\Cloud Drives\OneDrive\GScriptsCode\GMail-Retention\README.md", "Markdown", 6, 0, 0, 0, 0, 6, 12
"d:\Cloud Drives\OneDrive\GScriptsCode\GMail-Retention\appsscript.json", "JSON", 0, 29, 0, 0, 0, 0, 29
"d:\Cloud Drives\OneDrive\GScriptsCode\GMail-Retention\legacy\countStart.js", "JavaScript", 0, 0, 17, 0, 0, 1, 18
"d:\Cloud Drives\OneDrive\GScriptsCode\GMail-Retention\legacy\enhancedCachesTests.js", "JavaScript", 0, 0, 18, 0, 4, 3, 25
"d:\Cloud Drives\OneDrive\GScriptsCode\GMail-Retention\legacy\getInboxCount.js", "JavaScript", 0, 0, 34, 0, 15, 9, 58
"d:\Cloud Drives\OneDrive\GScriptsCode\GMail-Retention\legacy\html\index.html", "HTML", 0, 0, 0, 66, 0, 5, 71
"d:\Cloud Drives\OneDrive\GScriptsCode\GMail-Retention\legacy\senderCountsAPI.js", "JavaScript", 0, 0, 59, 0, 3, 14, 76
"d:\Cloud Drives\OneDrive\GScriptsCode\GMail-Retention\legacy\test.js", "JavaScript", 0, 0, 17, 0, 1, 4, 22
"d:\Cloud Drives\OneDrive\GScriptsCode\GMail-Retention\legacy\tests.js", "JavaScript", 0, 0, 9, 0, 0, 1, 10
"d:\Cloud Drives\OneDrive\GScriptsCode\GMail-Retention\legacy\zgetCountStart.js", "JavaScript", 0, 0, 11, 0, 5, 1, 17
"d:\Cloud Drives\OneDrive\GScriptsCode\GMail-Retention\package-lock.json", "JSON", 0, 2793, 0, 0, 0, 1, 2794
"d:\Cloud Drives\OneDrive\GScriptsCode\GMail-Retention\package.json", "JSON", 0, 9, 0, 0, 23, 0, 32
"d:\Cloud Drives\OneDrive\GScriptsCode\GMail-Retention\src\Async.js", "JavaScript", 0, 0, 46, 0, 43, 6, 95
"d:\Cloud Drives\OneDrive\GScriptsCode\GMail-Retention\src\EnhancedCache.js", "JavaScript", 0, 0, 153, 0, 81, 27, 261
"d:\Cloud Drives\OneDrive\GScriptsCode\GMail-Retention\src\EnhancedCacheService.js", "JavaScript", 0, 0, 3, 0, 11, 0, 14
"d:\Cloud Drives\OneDrive\GScriptsCode\GMail-Retention\src\MD5hash.js", "JavaScript", 0, 0, 33, 0, 46, 9, 88
"d:\Cloud Drives\OneDrive\GScriptsCode\GMail-Retention\src\captureFormData.js", "JavaScript", 0, 0, 98, 0, 18, 20, 136
"d:\Cloud Drives\OneDrive\GScriptsCode\GMail-Retention\src\cleanMail.js", "JavaScript", 0, 0, 127, 0, 32, 20, 179
"d:\Cloud Drives\OneDrive\GScriptsCode\GMail-Retention\src\debuggingHelpers.js", "JavaScript", 0, 0, 155, 0, 55, 31, 241
"d:\Cloud Drives\OneDrive\GScriptsCode\GMail-Retention\src\deleteAllConfirm.js", "JavaScript", 0, 0, 20, 0, 2, 4, 26
"d:\Cloud Drives\OneDrive\GScriptsCode\GMail-Retention\src\emailReport.js", "JavaScript", 0, 0, 20, 0, 12, 6, 38
"d:\Cloud Drives\OneDrive\GScriptsCode\GMail-Retention\src\exportToDrive.js", "JavaScript", 0, 0, 16, 0, 0, 7, 23
"d:\Cloud Drives\OneDrive\GScriptsCode\GMail-Retention\src\helperFunctions.js", "JavaScript", 0, 0, 261, 0, 98, 48, 407
"d:\Cloud Drives\OneDrive\GScriptsCode\GMail-Retention\src\licenseManagement.js", "JavaScript", 0, 0, 28, 0, 11, 6, 45
"d:\Cloud Drives\OneDrive\GScriptsCode\GMail-Retention\src\main.js", "JavaScript", 0, 0, 165, 0, 48, 37, 250
"d:\Cloud Drives\OneDrive\GScriptsCode\GMail-Retention\src\manageCaches.js", "JavaScript", 0, 0, 52, 0, 18, 10, 80
"d:\Cloud Drives\OneDrive\GScriptsCode\GMail-Retention\src\manageTriggers.js", "JavaScript", 0, 0, 60, 0, 29, 9, 98
"d:\Cloud Drives\OneDrive\GScriptsCode\GMail-Retention\src\previewRule.js", "JavaScript", 0, 0, 13, 0, 0, 1, 14
"d:\Cloud Drives\OneDrive\GScriptsCode\GMail-Retention\src\report-email.html", "HTML", 0, 0, 0, 35, 0, 3, 38
"d:\Cloud Drives\OneDrive\GScriptsCode\GMail-Retention\src\rulesCard.js", "JavaScript", 0, 0, 165, 0, 19, 38, 222
"d:\Cloud Drives\OneDrive\GScriptsCode\GMail-Retention\src\scheduleCard.js", "JavaScript", 0, 0, 72, 0, 37, 21, 130
"d:\Cloud Drives\OneDrive\GScriptsCode\GMail-Retention\src\senderCounts.js", "JavaScript", 0, 0, 124, 0, 23, 19, 166
"d:\Cloud Drives\OneDrive\GScriptsCode\GMail-Retention\src\senders-email.html", "HTML", 0, 0, 0, 30, 0, 3, 33
"d:\Cloud Drives\OneDrive\GScriptsCode\GMail-Retention\src\suggestionCard.js", "JavaScript", 0, 0, 83, 0, 0, 20, 103
"d:\Cloud Drives\OneDrive\GScriptsCode\GMail-Retention\src\timeOut.js", "JavaScript", 0, 0, 4, 0, 4, 0, 8
"d:\Cloud Drives\OneDrive\GScriptsCode\GMail-Retention\test\synth getSenderArr.js", "JavaScript", 0, 0, 319, 0, 0, 1, 320
"Total", "-", 6, 2831, 2182, 131, 638, 391, 6179
